Video_IDs,Comment_count,Channeal_IDs,Subsribers
hgFIFuDLFyo,0,UCJhjE7wbdYAae1G25m0tHAA,2960000
6bkbKKVAgcc,0,UCwobzUc3z-0PrFpoRxNszXQ,1520000
k9NpvVFnYaQ,1122,UCqZQlzSHbVJrwrn5XvzrzcA,265000
szeXkBYq5HU,3492,UCvyz2XB3Seq9MCbtORt1WIw,2260000
QV6qeIi_Uoc,2363,UCXGgrKt94gR6lmN4aN3mYTg,102000
y-X-xauUrTY,245,UCVjCsq6PCd1RxrhkOfuGMsw,4970000
ib1KTQxhomY,194,UC2iUwfYi_1FCGGqhOUNx-iA,23500000
2hvEoO_2XYk,455,UCW1NogUPtP51hNUfaQatNBA,10100000
eE9Oo0CfVN0,0,UCeY0bbntWzzVIaj2z3QigXg,1530000
4xg3aIdW_wA,957,UCeY0bbntWzzVIaj2z3QigXg,1530000
cZ564voadgQ,3573,UCu59yAFE8fM0sVNTipR4edw,5420000
GWerK2v2C70,Null,Null,Null
SrvQBD6kfRU,125,UC3rLoj87ctEHCcS7BuvIzkQ,8060000
-3d7JPqEXws,31,UCcjoLhqu3nyOFmdqF17LeBQ,4090000
Rr0uFzAOQus,0,UC5Ti4_DVp7LW34PjEwB13Xg,5310000
OTuph9pJWU4,173,UCxlJ45KjG4XVcQ_hd8j227A,1670000
